claim_id,claim,evidence,label
0,Global warming is driving polar bears toward extinction,"""Recent Research Shows Human Activity Driving Earth Towards Global Extinction Event"".",SUPPORTS
0,Global warming is driving polar bears toward extinction,"Environmental impacts include the extinction or relocation of many species as their ecosystems change, most immediately the environments of coral reefs, mountains, and the Arctic.",SUPPORTS
0,Global warming is driving polar bears toward extinction,"Rising temperatures push bees to their physiological limits, and could cause the extinction of bee populations.",SUPPORTS
0,Global warming is driving polar bears toward extinction,"Rising global temperatures, caused by the greenhouse effect, contribute to habitat destruction, endangering various species, such as the polar bear.",SUPPORTS
0,Global warming is driving polar bears toward extinction,"""Bear hunting caught in global warming debate"".",SUPPORTS
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",The current consensus of the scientific community is that the aerosols and dust released into the upper atmosphere causes cooler temperatures by preventing the sun's energy from reaching the ground.,SUPPORTS
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",The Little Ice Age caused crop failures and famines in Europe.,SUPPORTS
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists","The persistently cold, wet weather caused great hardship, was primarily responsible for the Great Famine of 1315–1317, and strongly contributed to the weakened immunity and malnutrition leading up to the Black Death (1348–1350).",SUPPORTS
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists","The manifestation of the meteorological winter (freezing temperatures) in the northerly snow–prone latitudes is highly variable depending on elevation, position versus marine winds and the amount of precipitation.",SUPPORTS
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists","In many regions, winter is associated with snow and freezing temperatures.",SUPPORTS
6,The polar bear population has been growing.,"""Ask the experts: Are polar bear populations increasing?"".",REFUTES
6,The polar bear population has been growing.,"The growth of the human population in the Eurasian Arctic in the 16th and 17th century, together with the advent of firearms and increasing trade, dramatically increased the harvest of polar bears.",REFUTES
6,The polar bear population has been growing.,"The numbers taken grew rapidly in the 1960s, peaking around 1968 with a global total of 1,250 bears that year.",REFUTES
6,The polar bear population has been growing.,"In two areas where harvest levels have been increased based on increased sightings, science-based studies have indicated declining populations, and a third area is considered data-deficient.",REFUTES
6,The polar bear population has been growing.,"Of the 19 recognized polar bear subpopulations, one is in decline, two are increasing, seven are stable, and nine have insufficient data, as of 2017.",REFUTES
9,Ironic' study finds more CO2 has slightly cooled the planet,CO2 in the mesosphere acts as a cooling agent by efficiently radiating heat into space.,REFUTES
9,Ironic' study finds more CO2 has slightly cooled the planet,The higher concentration of CO2 in the Martian thermosphere may explain part of the discrepancy because of the cooling effects of CO2 in high altitude.,REFUTES
9,Ironic' study finds more CO2 has slightly cooled the planet,This increase of CO 2 and other long-lived greenhouse gases in Earth's atmosphere has produced the current episode of global warming.,REFUTES
9,Ironic' study finds more CO2 has slightly cooled the planet,The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet's surface beyond the temperature it would have in the absence of its atmosphere.,REFUTES
9,Ironic' study finds more CO2 has slightly cooled the planet,"Less energy reaches the upper atmosphere, which is therefore cooler because of this absorption.",REFUTES
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"While CO 2 absorption and release is always happening as a result of natural processes, the recent rise in CO 2 levels in the atmosphere is known to be mainly due to human (anthropogenic) activity.",REFUTES
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"The burning of long-buried fossil fuels releases CO 2 containing carbon of different isotopic ratios to those of living plants, enabling distinction between natural and human-caused contributions to CO 2 concentration.",REFUTES
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"The beginning of human agriculture during the current Holocene epoch may have been strongly connected to the atmospheric CO 2 increase after the last ice age ended, a fertilization effect raising plant biomass growth and reducing stomatal conductance requirements for CO 2 intake, consequently reducing transpiration water losses and increasing water usage efficiency.",REFUTES
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"Ocean acidification is the ongoing decrease in the pH of the Earth's oceans, caused by the uptake of carbon dioxide (CO 2) from the atmosphere.",REFUTES
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,"More recently, anthropogenic activities have steadily increased the carbon dioxide content of the atmosphere; about 30–40% of the added CO2 is absorbed by the oceans, forming carbonic acid and lowering the pH (now below 8.1) through a process called ocean acidification.",REFUTES
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,Most carbon dioxide from human activities is released from burning coal and other fossil fuels.,SUPPORTS
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,"Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.",SUPPORTS
